,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
NVDA,0.08858488500118256,0.12517596781253815,0.5173526406288147,0.08809709548950195,0.1814671903848648,0.17466670274734497,0.279344767332077,0.5655651092529297,0.7974610924720764,0.18383550643920898,0.42795631289482117,0.3436027467250824,0.3177008032798767,0.28102211833000185,0.3861029567718506,0.5069222474098205,0.8425385641098022,2.668989731216431,4.838570150756836,3.3832851108551028,5.868144068145752,13.21126627960205,29.64809319152832,14.733847792053222,49.646830938720704,137.64370249023438
MSFT,35.99320602416992,13.272730827331543,20.7681941986084,16.1414794921875,17.231168975830077,21.86869087219238,21.988064498901366,25.25160202026367,30.445810317993164,19.10871406555176,28.660831909179688,27.31656005859375,27.079121551513673,28.96121124267578,39.50690246582031,49.81509414672851,60.34792633056641,68.42810623168945,92.83056427001954,109.83539245605469,167.52879821777344,232.81885620117188,350.9447229003906,259.2084014892578,398.5491369628906,452.92836181640627
AAPL,0.7528480887413025,0.2232745736837387,0.33667582273483276,0.21119152009487152,0.31941401958465576,0.9726520776748657,2.158146619796753,2.546907663345337,5.99891996383667,2.5904364585876465,6.353456020355225,9.716310501098633,12.158146858215332,15.623089558349609,17.827209606567383,26.041076198120116,25.800428233642577,28.857846217651367,42.42284125854492,40.630233073730466,74.62307456542969,135.32087913085937,180.59742393066406,134.922691875,198.66328025390624,260.047506328125
GOOGL,,,,,,4.911072731018066,10.31076717376709,11.44459056854248,17.460405349731445,7.533376216888428,15.477087020874023,14.883831977844238,16.05294418334961,17.397775650024414,27.574081420898438,26.580669403076172,39.244327545166016,39.35109329223633,52.3092155456543,51.975521087646484,66.52665710449219,86.21784973144531,145.1990509033203,87.62564086914062,138.73313903808594,191.21854553222656
AMZN,3.953125,0.778124988079071,0.5450000166893005,0.9624999761581421,2.6414999961853027,2.248500108718872,2.3575000762939453,1.9730000495910645,4.722499847412109,2.5380001068115234,6.82450008392334,9.137499809265137,8.654999732971191,12.258999824523926,19.668500900268555,15.515000343322754,34.45349884033203,37.493499755859375,58.4734992980957,73.9010009765625,92.34449768066406,164.29249572753906,168.64450073242188,84.0,151.94000244140625,221.3000030517578
META,,,,,,,,,,,,,,25.768630981445312,53.416954040527344,78.78776550292969,105.64044189453125,114.42227935791016,175.49720764160156,132.4732208251953,203.29469299316406,270.3866271972656,342.4810791015625,119.68340301513672,352.02874755859375,592.26025390625
AVGO,,,,,,,,,,,1.2506675720214844,2.054219514846802,2.118354866027832,2.3829576568603517,4.129263063430786,7.964397663116455,11.789652069091797,14.504579887390136,21.62060205078125,23.442273193359377,30.541191268920898,44.07062448120117,68.13238656616211,61.644175354003906,119.44734582519531,246.38377954101563
TSLA,,,,,,,,,,,,1.7666670083999634,1.9040000438690186,2.2146670818328857,10.162667274475098,14.815333366394043,15.87266731262207,14.246000289916992,20.75666618347168,22.257999420166016,27.64666748046875,231.5933380126953,356.7799987792969,123.18000030517578,248.47999572753906,417.4100036621094
BRK-B,34.20000076293945,47.08000183105469,49.540000915527344,48.400001525878906,56.29999923706055,59.119998931884766,58.709999084472656,73.31999969482422,93.69999694824219,61.119998931884766,65.79000091552734,79.4000015258789,76.30000305175781,88.55000305175781,118.04000091552734,152.08999633789062,133.25999450683594,162.97999572753906,198.22000122070312,202.0800018310547,225.75999450683594,229.64999389648438,299.9800109863281,308.8999938964844,356.6600036621094,452.1600036621094
WMT,14.519417252319336,11.52257017590332,12.806143989562988,11.30391773223877,11.963954887390138,12.307572112304687,11.258055625183106,11.495884856445313,12.426450590576172,14.57069260949707,15.03554939050293,15.682390157409667,17.963955236877442,20.89008050463867,24.856990890502928,28.227625579833983,22.544289565307615,25.840928115844726,35.7403742980957,35.13087083361816,44.7692919921875,53.834182586669925,54.962820220214844,55.97860748291016,62.62009246826172,101.80615740966797
JPM,25.831901084350587,24.46217622302246,22.05915521166992,17.673725218994143,26.6513113548584,30.150843444091798,32.752819228393555,40.1840529777832,39.33082101367187,33.79069184802246,41.69710137866211,42.50605866931152,37.75504472277832,46.649505782348626,59.56168130419921,66.13400659106445,71.72912194750975,90.62429391406249,110.88993325732422,106.99877847216797,148.3930777885742,144.5690207817383,181.0112159111328,166.78376077197265,209.16320565722657,285.78159249804685
V,,,,,,,,,,11.364861717224121,19.847066497802736,16.09661407470703,23.469312362670898,34.65907501220703,51.905233764648436,62.82973129272461,75.1691973876953,76.0002377319336,111.33618041992187,129.08253631591796,185.570654296875,217.40208923339844,219.55683715820314,212.8304913330078,268.2423461914062,327.0376708984375
ORCL,22.359758377075195,23.338468551635742,11.290802001953125,8.785304069519043,10.592151641845703,11.14625072479248,9.805169105529785,13.764176368713379,18.445919036865234,14.318283081054688,20.319500350952147,25.866128540039064,21.647213058471678,28.49924087524414,33.114267578125,40.2260920715332,34.08406356811523,36.514637603759766,45.61956726074219,44.83411514282226,53.669671325683595,66.41305755615234,90.94053405761719,87.61737701416016,113.54948638916015,177.39300903320313
